module,function,class,verdict,releasefast_ns,note
detour_crowd,rotate2D,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,reset,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addCircle,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addSegment,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleCircleCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleCircle,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleSegmentCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleSegment,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,prepare,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,processSample,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,sampleVelocityGrid,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,sampleVelocityAdaptive,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,reset,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPos,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getTarget,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getFirstPoly,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getLastPoly,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPath,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPathCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,setCorridor,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,findCorners,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,isValid,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,movePosition,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,moveTargetPosition,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,optimizePathVisibility,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,optimizePathTopology,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,fixPathStart,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,trimInvalidPath,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,moveOverOffmeshConnection,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,mergeCorridorStartMoved,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,mergeCorridorEndMoved,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,mergeCorridorStartShortcut,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,update,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,request,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,getRequestStatus,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPathResult,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getNavQuery,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,clear,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,addItem,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,queryItems,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,getItemCountAt,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getBounds,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getCellSize,D,N/A,,lifecycle/alloc/dispatch — no analog
